Date,Season,HomeTeam,AwayTeam,FTHG,FTAG,FDR,PI_1,PI_N,PI_2,B365_1,B365_N,B365_2
27/05/18,2017,Toulouse,Ajaccio,1,0,H,1.53,4.32,7.25,1.5,4.0,7.0
23/05/18,2017,Ajaccio,Toulouse,0,3,A,3.03,2.89,2.8,2.8,3.1,2.6
20/05/18,2017,Ajaccio,Le Havre,3,2,H,2.59,3.09,3.1,2.39,3.2,2.75
19/05/18,2017,Caen,Paris SG,0,0,D,6.4,4.8,1.5,7.0,4.4,1.44
19/05/18,2017,Dijon,Angers,2,1,H,2.21,3.45,3.53,2.1,3.25,3.5
19/05/18,2017,Lyon,Nice,3,2,H,1.53,4.77,6.25,1.5,4.2,6.5
19/05/18,2017,Marseille,Amiens,2,1,H,1.2,7.54,15.36,1.19,6.0,15.0
19/05/18,2017,Metz,Bordeaux,0,4,A,5.63,4.13,1.65,5.25,3.75,1.64
19/05/18,2017,Nantes,Strasbourg,1,0,H,1.91,3.5,4.6,1.83,3.29,4.59
19/05/18,2017,Rennes,Montpellier,1,1,D,2.08,3.32,4.12,2.04,3.2,3.79
19/05/18,2017,St Etienne,Lille,5,0,H,1.65,3.99,5.92,1.61,3.75,5.5
19/05/18,2017,Toulouse,Guingamp,2,1,H,1.58,4.38,6.05,1.53,4.0,6.0
19/05/18,2017,Troyes,Monaco,0,3,A,6.9,4.81,1.47,6.5,4.5,1.44
15/05/18,2017,Le Havre,Brest,2,0,H,2.45,2.96,3.48,2.29,3.1,3.25
12/05/18,2017,Amiens,Metz,2,0,H,2.03,3.68,3.83,2.0,3.29,3.79
12/05/18,2017,Angers,Nantes,0,2,A,2.48,3.42,3.03,2.5,3.2,2.87
12/05/18,2017,Bordeaux,Toulouse,4,2,H,1.85,3.84,4.33,1.8,3.5,4.5
12/05/18,2017,Lille,Dijon,2,1,H,1.59,4.38,5.96,1.66,3.6,5.25
12/05/18,2017,Monaco,St Etienne,1,0,H,1.48,4.67,7.04,1.53,4.33,5.5
12/05/18,2017,Montpellier,Troyes,1,1,D,1.97,3.74,3.99,1.83,3.39,4.5
12/05/18,2017,Nice,Caen,4,1,H,1.72,4.02,5.07,1.72,3.5,5.0
12/05/18,2017,Paris SG,Rennes,0,2,A,1.24,7.25,11.76,1.25,6.0,10.0
12/05/18,2017,Strasbourg,Lyon,3,2,H,8.09,5.32,1.4,6.0,4.75,1.44
11/05/18,2017,Guingamp,Marseille,3,3,D,5.15,4.26,1.68,4.75,3.6,1.72
06/05/18,2017,Marseille,Nice,2,1,H,1.65,4.2,5.59,1.7,3.75,4.75
06/05/18,2017,Caen,Monaco,1,2,A,4.78,3.93,1.78,4.75,3.75,1.7
06/05/18,2017,Dijon,Guingamp,3,1,H,2.41,3.59,3.02,2.1,3.25,3.5
06/05/18,2017,Metz,Angers,1,2,A,2.66,3.35,2.85,2.54,3.1,2.87
06/05/18,2017,Nantes,Montpellier,0,2,A,2.32,3.27,3.41,2.14,3.1,3.6
06/05/18,2017,Rennes,Strasbourg,2,1,H,1.78,3.82,4.98,1.8,3.39,4.75
06/05/18,2017,Toulouse,Lille,2,3,A,2.13,3.38,3.78,2.14,3.2,3.5
06/05/18,2017,Lyon,Troyes,3,0,H,1.17,8.46,17.25,1.12,8.0,19.0
06/05/18,2017,St Etienne,Bordeaux,1,3,A,2.16,3.33,3.74,2.2,3.1,3.5
04/05/18,2017,Amiens,Paris SG,2,2,D,11.68,6.56,1.26,13.0,6.5,1.19
29/04/18,2017,Paris SG,Guingamp,2,2,D,1.1,12.75,23.0,1.08,10.0,26.0
29/04/18,2017,Angers,Marseille,1,1,D,5.06,3.91,1.75,4.75,3.6,1.72
29/04/18,2017,Rennes,Toulouse,2,1,H,1.98,3.51,4.08,1.9,3.39,4.0
28/04/18,2017,Bordeaux,Dijon,3,1,H,1.63,4.01,5.88,1.61,3.79,5.5
28/04/18,2017,Lille,Metz,3,1,H,1.95,3.51,4.2,1.83,3.5,4.33
28/04/18,2017,Monaco,Amiens,0,0,D,1.22,6.57,15.48,1.19,7.0,12.0
28/04/18,2017,Strasbourg,Nice,1,1,D,2.97,3.41,2.47,2.89,3.25,2.39
28/04/18,2017,Troyes,Caen,3,1,H,2.22,3.29,3.58,2.2,3.1,3.5
28/04/18,2017,Lyon,Nantes,2,0,H,1.38,5.16,8.58,1.36,5.0,7.5
27/04/18,2017,Montpellier,St Etienne,0,1,A,2.36,3.26,3.29,2.25,3.1,3.39
25/04/18,2017,Caen,Toulouse,0,0,D,2.48,3.22,3.22,2.62,3.2,2.7
22/04/18,2017,Bordeaux,Paris SG,0,1,A,6.82,4.78,1.5,8.5,5.0,1.33
22/04/18,2017,St Etienne,Troyes,2,1,H,1.5,4.37,7.65,1.53,4.09,6.0
22/04/18,2017,Nice,Montpellier,1,0,H,2.13,3.32,3.93,2.04,3.25,3.75
